actual label,LOC,predicted label,probPos,
1,35,1,0.8607612024992836,
0,13,1,0.861362335914875,
1,55,1,0.8613656146295858,
1,130,1,0.861673410513637,
0,485,1,0.8619925713970223,
0,46,1,0.8621042127419184,
1,51,1,0.8620323068313727,
1,39,1,0.861904777885421,
1,35,1,0.8926472912562,
1,47,1,0.8926638635466231,
1,36,1,0.8929665791290567,
1,44,1,0.9216484285107441,
1,25,1,0.9216629717287221,
0,36,1,0.950006186752991,
1,4,1,0.9501095545605105,
1,7,1,0.9501160515331323,
1,10,1,0.9501863633054383,
1,112,1,0.9502438635732195,
1,7,1,0.9500831641517655,
0,61,1,0.9500300628111882,
1,13,1,0.9503559671406446,
1,44,1,0.9499956880909076,
1,22,1,0.9503409495317964,
1,7,1,0.9501357909402053,
1,7,1,0.950112524064213,
1,139,1,0.9500006126443049,
1,13,1,0.921250493424896,
0,65,1,0.9213938328412687,
0,67,1,0.9213821340178262,
1,24,1,0.9214156780742548,
1,12,1,0.9217023674283855,
1,123,1,0.9215590811107844,
0,32,1,0.9218288154288427,
0,231,1,0.921309781571999,
1,29,1,0.9217216700307238,
1,203,1,0.9212819002262803,
1,383,1,0.8514692941000019,
1,375,1,0.8808101549634213,
0,90,1,0.9212861134343869,
0,26,1,0.9215513539184957,
1,54,1,0.9213869863083751,
1,22,1,0.9214640691885048,
1,129,1,0.9216852376567581,
0,54,1,0.9211923906829185,
1,171,1,0.9210443832583479,
1,142,1,0.9212440356721034,
1,64,1,0.9212654918419168,
1,22,1,0.921559297159986,
0,261,1,0.9204000836485126,
0,85,1,0.9214241551951877,
0,382,1,0.961365404863263,
1,14,1,0.9215679859846195,
1,17,1,0.9214531967085555,
1,36,1,0.9218230639856104,
1,15,1,0.9221503539770932,
1,4,1,0.9224897616331352,
0,38,1,0.950190218234944,
1,6,1,0.9502684766094891,
1,26,1,0.9500059313707832,
1,125,1,0.950000714183887,
1,8,1,0.9504186454678549,
0,119,1,0.9499758959415532,
0,80,1,0.9499896408597437,
0,31,1,0.9501177518929744,
0,174,1,0.9499097800880151,
0,47,1,0.950013894458088,
1,78,1,0.9500019720928874,
1,41,1,0.9506185222418123,
1,13,1,0.9503009194173808,
1,18,1,0.9501806057720639,
1,21,1,0.9502996129473287,
1,107,1,0.9500008866484067,
1,8,1,0.9504036628951775,
0,51,1,0.950394054097613,
1,23,1,0.9506913844386815,
1,37,1,0.9500976445136942,
1,30,1,0.9501844043197542,
1,147,1,0.95001272762534,
1,103,1,0.9501074158149334,
1,14,1,0.9507635069003978,
1,14,1,0.9512228639476868,
1,30,1,0.9511442806434749,
1,30,1,0.950926952142406,
0,84,1,0.9504261638024794,
1,122,1,0.9502014107157537,
1,9,1,0.9509253562702675,
1,237,1,0.9499978197115869,
0,35,1,0.9500296658615743,
1,19,1,0.9507843999030884,
0,213,1,0.9500051028555319,
0,70,1,0.9504674124070818,
1,43,1,0.9501681006143234,
1,70,1,0.9500990774674822,
0,154,1,0.9500416824534424,
0,217,1,0.9501588314824589,
1,23,1,0.9501607797511108,
1,19,1,0.9516617824462035,
0,41,1,0.9509703495274504,
0,233,1,0.9500061134258546,
0,38,1,0.9508648049205288,
0,35,1,0.9513123874030432,
1,7,1,0.9506627469896267,
0,62,1,0.9508839496565882,
1,13,1,0.9516155847779245,
1,36,1,0.9500760226369549,
1,19,1,0.9502997972880282,
0,11,1,0.9522209784680381,
0,41,1,0.9500552144960246,
1,136,1,0.9503591763283206,
0,116,1,0.9499969008600889,
1,34,1,0.9513817942742253,
0,148,1,0.9500396429105015,
0,21,1,0.9520650147897298,
1,28,1,0.9514394900732338,
1,7,1,0.9522899983887105,
1,34,1,0.9527727439675668,
1,18,1,0.9522484057219909,
1,58,1,0.9503551342811809,
0,343,1,0.9497931524124287,
1,8,1,0.9505054685125482,
1,42,1,0.9501432124397908,
1,26,1,0.950142763699094,
1,306,1,0.9475411328110932,
0,9,1,0.9511718075509255,
0,25,1,0.9510656194785971,
1,13,1,0.9512621518745842,
0,61,1,0.9503231260499154,
1,91,1,0.9500495185482187,
1,174,1,0.9497743637547871,
0,82,1,0.9500474110835111,
1,38,1,0.9502871691306469,
1,134,1,0.9500324818916355,
0,37,1,0.9501951072945751,
1,25,1,0.9500698784730643,
1,63,1,0.9500352150265903,
0,51,1,0.9503243536471169,
1,38,1,0.9503355084609941,
0,15,1,0.9503256222085854,
1,15,1,0.9502571651604319,
1,7,1,0.9503554483639732,
1,7,1,0.9503997754407472,
1,22,1,0.950430387056242,
1,23,1,0.9501613882629213,
1,33,1,0.9500508530404455,
1,10,1,0.950482404474613,
1,11,1,0.9504971524722408,
1,26,1,0.9504809485020365,
1,29,1,0.9505536964796472,
0,64,1,0.9503692740506876,
0,43,1,0.9504010432054567,
1,12,1,0.9501798499195175,
1,33,1,0.9503272048472109,
